Model,Price
Asus ROG Zephyrus G14,127000
ThinkPad T417s,43700
MacBook Air M2,72000
Dell Latitude 5417,52000
HP EliteBook 857,58600
Asus ROG Zephyrus G14,129000
ThinkPad T418s,44800
MacBook Air M3,73000
Dell Latitude 5418,53000
HP EliteBook 858,59400
Asus ROG Zephyrus G14,131000
ThinkPad T419s,45900
MacBook Air M4,74000
Dell Latitude 5419,54000
HP EliteBook 859,60200
Asus ROG Zephyrus G14,133000
ThinkPad T420s,47000
MacBook Air M1,75000
Dell Latitude 5420,55000
HP EliteBook 860,61000
Asus ROG Zephyrus G14,135000
ThinkPad T421s,48100
MacBook Air M1,76000
Dell Latitude 5421,56000
HP EliteBook 861,61800
Asus ROG Zephyrus G15,137000
ThinkPad T422s,49200
MacBook Air M2,77000
Dell Latitude 5422,57000
HP EliteBook 862,62600
Asus ROG Zephyrus G16,139000
ThinkPad T423s,50300
MacBook Air M3,78000
Dell Latitude 5423,58000
HP EliteBook 863,63400
Asus ROG Zephyrus G17,141000
ThinkPad T424s,51400
MacBook Air M4,79000
Dell Latitude 5424,59000
HP EliteBook 864,64200
Asus ROG Zephyrus G18,143000
ThinkPad T425s,52500
MacBook Air M1,80000
Dell Latitude 5425,60000
HP EliteBook 865,65000
Asus ROG Zephyrus G19,145000
ThinkPad T426s,53600
MacBook Air M1,81000
Dell Latitude 5426,61000
HP EliteBook 866,65800
Asus ROG Zephyrus G110,147000
ThinkPad T427s,54700
MacBook Air M2,82000
Dell Latitude 5427,62000
HP EliteBook 867,66600
Asus ROG Zephyrus G111,149000
ThinkPad T428s,55800
MacBook Air M3,83000
Dell Latitude 5428,63000
HP EliteBook 868,67400
Asus ROG Zephyrus G112,151000
ThinkPad T429s,56900
MacBook Air M4,84000
Dell Latitude 5429,64000
HP EliteBook 869,68200
Asus ROG Zephyrus G113,153000
ThinkPad T430s,58000
MacBook Air M1,85000
Dell Latitude 5430,65000
HP EliteBook 870,69000
Asus ROG Zephyrus G114,155000
ThinkPad T431s,59100
MacBook Air M1,86000
Dell Latitude 5431,66000
HP EliteBook 871,69800
Asus ROG Zephyrus G115,157000
ThinkPad T432s,60200
MacBook Air M2,87000
Dell Latitude 5432,67000
HP EliteBook 872,70600
Asus ROG Zephyrus G14,159000
ThinkPad T433s,61300
MacBook Air M3,88000
Dell Latitude 5433,68000
HP EliteBook 873,71400
Asus ROG Zephyrus G14,161000
ThinkPad T434s,62400
MacBook Air M4,89000
Dell Latitude 5434,69000
HP EliteBook 874,72200
Asus ROG Zephyrus G14,163000
ThinkPad T435s,63500
MacBook Air M1,90000
Dell Latitude 5435,70000
HP EliteBook 875,73000
Asus ROG Zephyrus G14,165000
ThinkPad T436s,64600
MacBook Air M1,91000
Dell Latitude 5436,71000
HP EliteBook 876,73800
Asus ROG Zephyrus G14,167000
ThinkPad T437s,65700
MacBook Air M2,92000
Dell Latitude 5437,72000
HP EliteBook 877,74600
Asus ROG Zephyrus G15,169000
ThinkPad T438s,66800
MacBook Air M3,93000
Dell Latitude 5438,73000
HP EliteBook 878,75400
Asus ROG Zephyrus G16,171000
ThinkPad T439s,67900
MacBook Air M4,94000
Dell Latitude 5439,74000
HP EliteBook 879,76200
Asus ROG Zephyrus G17,173000
ThinkPad T440s,69000
MacBook Air M1,95000
Dell Latitude 5440,75000
HP EliteBook 880,77000
Asus ROG Zephyrus G18,175000
ThinkPad T441s,70100
MacBook Air M1,96000
Dell Latitude 5441,76000
HP EliteBook 881,77800
Asus ROG Zephyrus G19,177000
ThinkPad T442s,71200
MacBook Air M2,97000
Dell Latitude 5442,77000
HP EliteBook 882,78600
Asus ROG Zephyrus G110,179000
ThinkPad T443s,72300
MacBook Air M3,98000
Dell Latitude 5443,78000
HP EliteBook 883,79400
Asus ROG Zephyrus G111,181000
ThinkPad T444s,73400
MacBook Air M4,99000
Dell Latitude 5444,79000
HP EliteBook 884,80200
Asus ROG Zephyrus G112,183000
ThinkPad T445s,74500
MacBook Air M1,100000
Dell Latitude 5445,80000
HP EliteBook 885,81000
Asus ROG Zephyrus G113,185000
ThinkPad T446s,75600
MacBook Air M1,101000
Dell Latitude 5446,81000
HP EliteBook 886,81800
Asus ROG Zephyrus G114,187000
ThinkPad T447s,76700
MacBook Air M2,102000
Dell Latitude 5447,82000
HP EliteBook 887,82600
Asus ROG Zephyrus G115,189000
ThinkPad T448s,77800
MacBook Air M3,103000
Dell Latitude 5448,83000
HP EliteBook 888,83400
Asus ROG Zephyrus G14,191000
ThinkPad T449s,78900
MacBook Air M4,104000
Dell Latitude 5449,84000
HP EliteBook 889,84200
Asus ROG Zephyrus G14,193000
ThinkPad T450s,80000
MacBook Air M1,105000
Dell Latitude 5450,85000
HP EliteBook 890,85000
Asus ROG Zephyrus G14,195000
ThinkPad T451s,81100
MacBook Air M1,106000
Dell Latitude 5451,86000
HP EliteBook 891,85800
Asus ROG Zephyrus G14,197000
ThinkPad T452s,82200
MacBook Air M2,107000
Dell Latitude 5452,87000
HP EliteBook 892,86600
Asus ROG Zephyrus G14,199000
ThinkPad T453s,83300
MacBook Air M3,108000
Dell Latitude 5453,88000
HP EliteBook 893,87400
Asus ROG Zephyrus G15,201000
ThinkPad T454s,84400
MacBook Air M4,109000
Dell Latitude 5454,89000
HP EliteBook 894,88200
Asus ROG Zephyrus G16,203000
ThinkPad T455s,85500
MacBook Air M1,110000
Dell Latitude 5455,90000
HP EliteBook 895,89000
Asus ROG Zephyrus G17,205000
ThinkPad T456s,86600
MacBook Air M1,111000
Dell Latitude 5456,91000
HP EliteBook 896,89800
Asus ROG Zephyrus G18,207000
ThinkPad T457s,87700
MacBook Air M2,112000
Dell Latitude 5457,92000
HP EliteBook 897,90600
Asus ROG Zephyrus G19,209000
ThinkPad T458s,88800
MacBook Air M3,113000
Dell Latitude 5458,93000
HP EliteBook 898,91400
Asus ROG Zephyrus G110,211000
ThinkPad T459s,89900
MacBook Air M4,114000
Dell Latitude 5459,94000
HP EliteBook 899,92200
Asus ROG Zephyrus G111,213000
ThinkPad T460s,91000
MacBook Air M1,115000
Dell Latitude 5460,95000
HP EliteBook 900,93000
Asus ROG Zephyrus G112,215000
ThinkPad T461s,92100
MacBook Air M1,116000
Dell Latitude 5461,96000
HP EliteBook 901,93800
Asus ROG Zephyrus G113,217000
ThinkPad T462s,93200
MacBook Air M2,117000
Dell Latitude 5462,97000
HP EliteBook 902,94600
Asus ROG Zephyrus G114,219000
ThinkPad T463s,94300
MacBook Air M3,118000
Dell Latitude 5463,98000
HP EliteBook 903,95400
Asus ROG Zephyrus G115,221000
ThinkPad T464s,95400
MacBook Air M4,119000
Dell Latitude 5464,99000
HP EliteBook 904,96200
Asus ROG Zephyrus G14,223000
ThinkPad T465s,96500
MacBook Air M1,120000
Dell Latitude 5465,100000
HP EliteBook 905,97000
Asus ROG Zephyrus G14,225000
ThinkPad T466s,97600
MacBook Air M1,121000
Dell Latitude 5466,101000
HP EliteBook 906,97800
Asus ROG Zephyrus G14,227000
ThinkPad T467s,98700
MacBook Air M2,122000
Dell Latitude 5467,102000
HP EliteBook 907,98600
Asus ROG Zephyrus G14,229000
ThinkPad T468s,99800
MacBook Air M3,123000
Dell Latitude 5468,103000
HP EliteBook 908,99400
Asus ROG Zephyrus G14,231000
ThinkPad T469s,100900
MacBook Air M4,124000
Dell Latitude 5469,104000
HP EliteBook 909,100200
Asus ROG Zephyrus G15,233000
ThinkPad T470s,102000
MacBook Air M1,125000
Dell Latitude 5470,105000
HP EliteBook 910,101000
Asus ROG Zephyrus G16,235000
ThinkPad T471s,103100
MacBook Air M1,126000
Dell Latitude 5471,106000
HP EliteBook 911,101800
Asus ROG Zephyrus G17,237000
ThinkPad T472s,104200
MacBook Air M2,127000
Dell Latitude 5472,107000
HP EliteBook 912,102600
Asus ROG Zephyrus G18,239000
ThinkPad T473s,105300
MacBook Air M3,128000
Dell Latitude 5473,108000
HP EliteBook 913,103400
Asus ROG Zephyrus G19,241000
ThinkPad T474s,106400
MacBook Air M4,129000
Dell Latitude 5474,109000
HP EliteBook 914,104200
Asus ROG Zephyrus G110,243000
ThinkPad T475s,107500
MacBook Air M1,130000
Dell Latitude 5475,110000
HP EliteBook 915,105000
Asus ROG Zephyrus G111,245000
ThinkPad T476s,108600
MacBook Air M1,131000
Dell Latitude 5476,111000
HP EliteBook 916,105800
Asus ROG Zephyrus G112,247000
ThinkPad T477s,109700
MacBook Air M2,132000
Dell Latitude 5477,112000
HP EliteBook 917,106600
Asus ROG Zephyrus G113,249000
ThinkPad T478s,110800
MacBook Air M3,133000
Dell Latitude 5478,113000
HP EliteBook 918,107400
Asus ROG Zephyrus G114,251000
ThinkPad T479s,111900
MacBook Air M4,134000
Dell Latitude 5479,114000
HP EliteBook 919,108200
Asus ROG Zephyrus G115,253000
ThinkPad T480s,113000
MacBook Air M1,135000
Dell Latitude 5480,115000
HP EliteBook 920,109000
Asus ROG Zephyrus G14,255000
ThinkPad T481s,114100
MacBook Air M1,136000
Dell Latitude 5481,116000
HP EliteBook 921,109800
Asus ROG Zephyrus G14,257000
ThinkPad T482s,115200
MacBook Air M2,137000
Dell Latitude 5482,117000
HP EliteBook 922,110600
Asus ROG Zephyrus G14,259000
ThinkPad T483s,116300
MacBook Air M3,138000
Dell Latitude 5483,118000
HP EliteBook 923,111400
Asus ROG Zephyrus G14,261000
ThinkPad T484s,117400
MacBook Air M4,139000
Dell Latitude 5484,119000
HP EliteBook 924,112200
Asus ROG Zephyrus G14,263000
ThinkPad T485s,118500
MacBook Air M1,140000
Dell Latitude 5485,120000
HP EliteBook 925,113000
Asus ROG Zephyrus G15,265000
ThinkPad T486s,119600
MacBook Air M1,141000
Dell Latitude 5486,121000
HP EliteBook 926,113800
Asus ROG Zephyrus G16,267000
ThinkPad T487s,120700
MacBook Air M2,142000
Dell Latitude 5487,122000
HP EliteBook 927,114600
Asus ROG Zephyrus G17,269000
ThinkPad T488s,121800
MacBook Air M3,143000
Dell Latitude 5488,123000
HP EliteBook 928,115400
Asus ROG Zephyrus G18,271000
ThinkPad T489s,122900
MacBook Air M4,144000
Dell Latitude 5489,124000
HP EliteBook 929,116200
Asus ROG Zephyrus G19,273000
ThinkPad T490s,124000
MacBook Air M1,145000
Dell Latitude 5490,125000
HP EliteBook 930,117000
Asus ROG Zephyrus G110,275000
ThinkPad T491s,125100
MacBook Air M1,146000
Dell Latitude 5491,126000
HP EliteBook 931,117800
Asus ROG Zephyrus G111,277000
ThinkPad T492s,126200
MacBook Air M2,147000
Dell Latitude 5492,127000
HP EliteBook 932,118600
Asus ROG Zephyrus G112,279000
ThinkPad T493s,127300
MacBook Air M3,148000
Dell Latitude 5493,128000
HP EliteBook 933,119400
Asus ROG Zephyrus G113,281000
ThinkPad T494s,128400
MacBook Air M4,149000
Dell Latitude 5494,129000
HP EliteBook 934,120200
Asus ROG Zephyrus G114,283000
ThinkPad T495s,129500
MacBook Air M1,150000
Dell Latitude 5495,130000
HP EliteBook 935,121000
Asus ROG Zephyrus G115,285000
ThinkPad T496s,130600
MacBook Air M1,151000
Dell Latitude 5496,131000
HP EliteBook 936,121800
Asus ROG Zephyrus G14,287000
ThinkPad T497s,131700
MacBook Air M2,152000
Dell Latitude 5497,132000
HP EliteBook 937,122600
Asus ROG Zephyrus G14,289000
ThinkPad T498s,132800
MacBook Air M3,153000
Dell Latitude 5498,133000
HP EliteBook 938,123400
Asus ROG Zephyrus G14,291000
ThinkPad T499s,133900
MacBook Air M4,154000
Dell Latitude 5499,134000
HP EliteBook 939,124200
Asus ROG Zephyrus G14,293000
ThinkPad T500s,135000
MacBook Air M1,155000
Dell Latitude 5500,135000
HP EliteBook 940,125000
Asus ROG Zephyrus G14,295000
